ticker,vol_30d,ret_1m,ret_3m,fwd_6m,label,phase_1,phase_2,phase_3,phase_4,active_trials,total_trials,pipeline_density,late_stage_ratio,risk_score
CSTL,0.0196790504151867,0.25183254481579886,0.051039504993916185,0.9231146087679565,1,0,0,0,0,0,0,0.0,0.0,0.0
CTKB,0.0502918612831844,0.3019979621017722,-0.07298344792649625,0.4852941320841697,1,0,0,0,0,0,0,0.0,0.0,0.0
CTMX,0.06101313022612189,-0.06413125668487207,1.9452789583771826,0.8458150186901263,1,0,0,0,0,0,0,0.0,0.0,0.0
CTNM,0.10919411645813944,0.22058530342302873,-0.37382931097981864,2.0403021682217823,1,0,0,0,0,0,0,0.0,0.0,0.0
CVAC,0.07920674109431385,0.22193145609494658,0.7137508100332755,-0.204419832738165,0,0,0,0,0,0,0,0.0,0.0,0.0
CYTK,0.02540836222267325,0.05847840979513874,-0.22380255843386376,0.8689466794469798,1,0,0,0,0,0,0,0.0,0.0,0.0
DAWN,0.0254879784036159,0.010015966680103405,-0.1732066658497824,0.44153844393216657,1,0,0,0,0,0,0,0.0,0.0,0.0
DNA,0.06136710117801273,0.48241386570098177,0.7347784510134633,-0.2737777709960938,0,0,0,0,0,0,0,0.0,0.0,0.0
DNLI,0.026735781487948872,0.04018769728503835,0.005558757606739961,0.18513225124812727,0,0,5,1,0,6,6,0.14285714285714285,0.14285714285714285,0.0
DNTH,0.0316482392504088,0.05478499088360367,-0.015569777726118228,1.2340311758861162,1,0,0,0,0,0,0,0.0,0.0,0.0
DSGN,0.03700833972831318,-0.15941535075423974,-0.1261768988727947,1.9050445977178034,1,0,2,0,0,2,2,0.0,0.0,0.0
DVAX,0.02202637010309204,0.019185695047526652,-0.29161971839908374,0.5493951378376627,1,0,0,0,0,0,0,0.0,0.0,0.0
DXCM,0.02280380817974557,0.03442415225197715,0.2880453561549583,-0.22705922198356387,0,0,0,1,0,32,32,0.030303030303030304,0.030303030303030304,0.0
DYN,0.05090761730180984,-0.2134623937767084,-0.042308660632242034,1.057773026325016,1,0,0,0,0,0,0,0.0,0.0,0.0
EBS,0.051642137456633805,0.0007520637111781969,0.4388965708707986,0.9153605090647638,1,0,0,0,0,0,0,0.0,0.0,0.0
EDIT,0.06371828927727044,0.21924078394717417,0.703765055218122,-0.04545460949259217,0,0,2,0,0,2,2,0.0,0.0,0.0
ELVN,0.05419121631654136,0.15646324095055142,0.04182476349294151,-0.20538384821764155,0,0,0,0,0,0,0,0.0,0.0,0.0
ENTA,0.03953704416161013,0.22307523874674817,0.33561627820179585,1.1732804800968104,1,0,0,0,0,0,0,0.0,0.0,0.0
ERAS,0.07203411099742792,-0.11728948510115422,-0.02203355863514378,1.7244095197724096,1,5,2,1,0,8,8,0.1111111111111111,0.1111111111111111,2.5
EW,0.010860891050459879,0.007114795089201209,0.10666400578907809,0.11162259888923587,0,0,0,0,0,60,60,0.0,0.0,0.0
EWTX,0.027093480592003855,-0.09704820561902705,-0.4725707524103425,0.8779558721570084,1,2,4,0,0,7,7,0.0,0.0,2.0
EXAS,0.016040127716077955,-0.07793455905828173,0.22330564657909613,0.9181407880300341,1,0,0,0,0,0,0,0.0,0.0,0.0
EXEL,0.02253955537361015,0.04045856506559253,0.21864853766438852,0.029264905790481688,0,20,33,10,1,65,65,0.15151515151515152,0.16666666666666666,1.6666666666666667
FDMT,0.052569005768895,0.02558509527543673,0.13464383085195053,1.070080794978789,1,0,0,0,0,0,0,0.0,0.0,0.0
FHTX,0.03562246815836305,0.0982542024310098,0.37699462358530866,0.10425537613626745,0,1,0,0,0,1,1,0.0,0.0,1.0
FLGT,0.019685471414712417,-0.0327152045606256,0.1898527475657883,0.3380282446875109,0,0,0,0,0,0,0,0.0,0.0,0.0
FOLD,0.02588546174654516,-0.07554149565418455,-0.3526178490540568,1.486910986486202,1,0,0,0,0,0,0,0.0,0.0,0.0
FTRE,0.05718722804666338,0.20217720091154956,-0.35543698864308515,2.491902793561077,1,0,0,0,0,0,0,0.0,0.0,0.0
FULC,0.03650801757663196,-0.01737315955375851,0.9413421946105426,0.7427324958834676,1,0,0,0,0,0,0,0.0,0.0,0.0
GERN,0.04873514739106307,-0.026702933307761967,-0.08145666136965779,-0.028368767943217854,0,0,0,0,0,0,0,0.0,0.0,0.0
GHRS,0.048615674600337985,0.03194957145498689,0.16419432182721438,0.033634193207538576,0,0,0,0,0,0,0,0.0,0.0,0.0
GILD,0.016591824466258252,0.007265186563772397,0.012699937606778233,0.1419514767343888,0,22,66,41,7,166,166,0.24550898203592814,0.2874251497005988,0.4489795918367347
GLPG,0.015681003653913686,-0.03621004895153157,0.10564489745910044,0.1832797142806717,0,0,0,0,0,0,0,0.0,0.0,0.0
GLUE,0.030563482886632402,0.07485765779386122,-0.05916301583591488,2.574279383846069,1,1,1,0,0,2,2,0.0,0.0,1.0
GMAB,0.017636957515323452,-0.027787660229134814,0.05391463583594058,0.5740561809266982,1,6,31,11,1,50,50,0.21568627450980393,0.23529411764705882,0.46153846153846156
GOSS,0.04337905204401881,0.10341058678982684,0.15968854491048334,1.609756088105549,1,0,1,2,0,3,3,0.5,0.5,0.0
GPCR,0.028131791747834874,-0.0699310393969712,0.12970885378307706,2.2487945032308594,1,0,0,0,0,0,0,0.0,0.0,0.0
GRAL,0.04834186822713534,0.2525410131714906,0.8219203001872599,0.7090626289927091,1,0,0,0,0,5,5,0.0,0.0,0.0
GRFS,0.01787151144831967,0.08206160483682279,0.24313563460935683,0.02558797222776321,0,0,0,0,0,0,0,0.0,0.0,0.0
