,phase_1,phase_2,phase_3,phase_4,active_trials,total_trials,late_stage_ratio,pipeline_density,ticker
91,0.0,1.791759469228055,0.6931471805599453,0.0,1.9459101490553132,1.9459101490553132,0.3562071871080222,1.0,DNTH
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DSGN
93,0.0,1.0986122886681096,0.0,0.0,1.0986122886681096,1.0986122886681096,0.0,1.0,DVAX
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DXCM
95,0.0,0.0,0.6931471805599453,0.0,3.4965075614664802,3.4965075614664802,0.19823986317056053,1.0,DYN
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EBS
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EDIT
98,0.0,1.0986122886681096,0.0,0.0,1.0986122886681096,1.0986122886681096,0.0,1.0,ELVN
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENTA
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ERAS
101,1.791759469228055,1.0986122886681096,0.6931471805599453,0.0,2.1972245773362196,2.1972245773362196,0.3154648767857287,1.0,EW
102,0.0,0.0,0.0,0.0,4.110873864173311,4.110873864173311,0.0,1.0,EWTX
103,1.0986122886681096,1.6094379124341003,0.0,0.0,2.0794415416798357,2.0794415416798357,0.0,1.0,EXAS
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EXEL
105,2.995732273553991,3.5263605246161616,2.3978952727983707,0.6931471805599453,4.174387269895637,4.174387269895637,0.740478123735653,1.0,FDMT
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FHTX
107,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,FLGT
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FOLD
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTRE
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FULC
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GERN
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GHRS
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GILD
114,3.1354942159291497,4.219507705176107,3.7376696182833684,2.0794415416798357,5.1298987149230735,5.1298987149230735,1.1339621858499862,1.0,GLPG
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GLUE
116,0.6931471805599453,0.6931471805599453,0.0,0.0,1.0986122886681096,1.0986122886681096,0.0,1.0,GMAB
